CO_IES|NO_IES|SGL_IES|CO_MANTENEDORA|NO_MANTENEDORA|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_MUNICIPIO_IES|NO_MUNICIPIO_IES|CO_UF_IES|SGL_UF_IES|NO_REGIAO_IES|IN_CAPITAL_IES|QT_TEC_TOTAL|QT_TEC_FUND_INCOMP_FEM|QT_TEC_FUND_INCOMP_MASC|QT_TEC_FUND_COMP_FEM|QT_TEC_FUND_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REFERENTE|VL_RECEITA_PROPRIA|VL_TRANSFERENCIA|VL_OUTRA_RECEITA|VL_DES_PESSOAL_REM_DOCENTE|VL_DES_PESSOAL_REM_TECNICO|VL_DES_PESSOAL_ENCARGO|VL_DES_CUSTEIO|VL_DES_INVESTIMENTO|VL_DES_PESQUISA|VL_DES_OUTRAS
721|FACULDADE DE EDUCAÇÃO DE ASSIS|FAEDA|484|INSTITUTO EDUCACIONAL DE ASSIS IEDA|5|Privada sem fins lucrativos|3|Faculdade|3504008|Assis|35|SP|Sudeste|0|17|0|0|0|0|5|9|2|1|0|0|0|0|0|0|1|1|1|1362661.68|0.00|0.00|325351.80|474382.77|416224.96|216673.61|0.00|0.00|1162023.47
724|Centro Universitário FACEX|UNIFACEX|485|CENTRO INTEGRADO PARA FORMACAO DE EXECUTIVOS|5|Privada sem fins lucrativos|2|Centro Universitário|2408102|Natal|24|RN|Nordeste|1|189|0|1|1|2|43|46|52|22|14|4|3|1|0|0|1|0|1|61296829.02|0.00|0.00|11258517.63|4825078.98|7137508.42|5688869.14|0.00|0.00|16058766.58
727|FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO|FASF|488|OBRAS SOCIAIS E EDUCACIONAIS DE LUZ|5|Privada sem fins lucrativos|3|Faculdade|3138807|Luz|31|MG|Sudeste|0|27|1|4|0|1|5|0|5|2|4|1|2|2|0|0|1|1|2|763505.95|0.00|25754.44|1041204.04|668783.05|43755.14|378872.24|6055.56|0.00|412749.95
375|UNIVERSIDADE DE SANTO AMARO|UNISA|488|OBRAS SOCIAIS E EDUCACIONAIS DE LUZ|5|Privada sem fins lucrativos|1|Universidade|3550308|São Paulo|35|SP|Sudeste|1|1095|6|12|44|35|114|99|335|334|36|41|9|8|10|12|1|1|2|131765963.28|0.00|6102522.73|40668981.64|8939976.63|8511140.21|45363062.79|1125712.53|10021791.83|31330853.40
1299|FACULDADES INTEGRADAS DE FERNANDÓPOLIS|FIFE|492|FUNDACAO EDUCACIONAL DE FERNANDOPOLIS|5|Privada sem fins lucrativos|3|Faculdade|3515509|Fernandópolis|35|SP|Sudeste|0|114|3|4|6|2|23|14|33|19|4|6|0|0|0|0|1|1|1|31114633.10|0.00|897578.89|7663602.69|3581913.35|907718.11|407195.36|0.00|0.00|12560429.51
734|FACULDADES INTEGRADAS MARIA IMACULADA|FIMI|494|INSTITUTO MARIA IMACULADA|5|Privada sem fins lucrativos|3|Faculdade|3530706|Mogi Guaçu|35|SP|Sudeste|0|29|4|6|1|1|4|3|7|1|0|0|1|1|0|0|1|0|1|6806596.98|0.00|0.00|1948073.28|649357.76|695087.30|1259101.20|0.00|0.00|610221.15
1232|CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE|UNIANDRADE|495|ASSOCIACAO DE ENSINO VERSALHES|5|Privada sem fins lucrativos|2|Centro Universitário|4106902|Curitiba|41|PR|Sul|1|133|0|0|2|6|34|34|24|12|5|8|4|4|0|0|1|1|2|12364753.12|0.00|1106734.12|3179271.10|2128495.06|1522278.11|1737821.91|1764764.89|2977198.78|161657.39
737|CENTRO UNIVERSITÁRIO SÃO CAMILO|SAO CAMILO|497|UNIAO SOCIAL CAMILIANA|5|Privada sem fins lucrativos|2|Centro Universitário|3550308|São Paulo|35|SP|Sudeste|1|344|21|9|14|6|106|60|66|30|16|11|1|2|2|0|0|1|2|76147810.57|0.00|2299340.25|30280592.46|6833577.88|6899129.66|7743654.57|945294.61|0.00|11174517.25
647|FACULDADE DE ENFERMAGEM LUIZA DE MARILLAC|FELM|497|UNIAO SOCIAL CAMILIANA|5|Privada sem fins lucrativos|3|Faculdade|3304557|Rio de Janeiro|33|RJ|Sudeste|1|50|0|5|1|0|10|9|13|3|5|3|0|0|1|0|0|1|2|5181419.96|0.00|930716.28|1687335.75|600475.71|598362.32|1309197.99|60405.43|0.00|0.00
739|CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO|SÃO CAMILO-ES|497|UNIAO SOCIAL CAMILIANA|5|Privada sem fins lucrativos|2|Centro Universitário|3201209|Cachoeiro de Itapemirim|32|ES|Sudeste|0|310|5|15|36|35|75|24|47|22|20|6|14|7|1|3|1|1|2|28315369.50|0.00|2235058.75|10314320.81|3710984.68|4556303.27|5171371.95|1494261.58|0.00|5492447.24
1904|FACULDADE SÃO CAMILO|FASC|497|UNIAO SOCIAL CAMILIANA|5|Privada sem fins lucrativos|3|Faculdade|3304557|Rio de Janeiro|33|RJ|Sudeste|1|50|0|5|1|0|10|9|13|3|5|3|0|0|1|0|0|1|2|5221082.41|0.00|526301.40|1700251.87|605072.19|602942.63|1274988.53|60867.82|0.00|0.00
740|FACULDADE DE CIÊNCIAS HUMANAS DE VITÓRIA|FAVIX|498|INSTITUTO DE ENSINO SUPERIOR PROF NELSON A DE ALMEIDA|5|Privada sem fins lucrativos|3|Faculdade|3205309|Vitória|32|ES|Sudeste|1|12|0|0|0|0|2|2|1|1|1|1|1|1|1|1|0|0|2|200000.00|0.00|0.00|20000.00|10000.00|0.00|0.00|0.00|0.00|0.00
743|ESCOLA SUPERIOR DE ENSINO HELENA ANTIPOFF|ESEHA|500|ASSOCIACAO PESTALOZZI DE NITEROI|5|Privada sem fins lucrativos|3|Faculdade|3303302|Niterói|33|RJ|Sudeste|0|2|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|2|1.00|0.00|0.00|65558.43|67477.98|25593.12|0.00|0.00|0.00|0.00
744|FACULDADE DE EDUCAÇÃO E CIÊNCIAS HUMANAS DE ANICUNS|FECHA|501|FUNDACAO EDUCACIONAL DE ANICUNS|3|Pública Municipal|3|Faculdade|5201306|Anicuns|52|GO|Centro-Oeste|0|44|0|0|0|0|7|13|11|4|6|3|0|0|0|0|1|1|1|5028483.13|0.00|0.00|2138355.78|1167560.89|560904.10|1187440.39|9252.60|0.00|0.00
745|INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL|IMESSM|502|INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SAO MANUEL|3|Pública Municipal|3|Faculdade|3550100|São Manuel|35|SP|Sudeste|0|15|1|0|0|0|2|2|6|2|0|0|2|0|0|0|1|0|2|1314463.95|300000.00|0.00|634267.82|284818.48|335960.06|0.00|53155.06|0.00|313547.42
746|UNIVERSIDADE REGIONAL DO CARIRI|URCA|503|SECRETARIA DA CIENCIA, TECNOLOGIA E EDUCACAO SUPERIOR|2|Pública Estadual|1|Universidade|2304202|Crato|23|CE|Nordeste|0|147|0|8|4|12|23|16|19|25|25|12|1|2|0|0|0|0|2|297390.83|83941343.15|975521.13|53720692.34|56726458.79|12325467.21|11252239.54|3423823.20|1486267.37|0.00
749|CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA|CESVALE|505|APEC ASSOCIACAO PIAUIENSE DE EDUCACAO E CULTURA|4|Privada com fins lucrativos|3|Faculdade|2211001|Teresina|22|PI|Nordeste|1|23|0|0|2|3|2|0|10|4|2|0|0|0|0|0|1|1|1|3135706.21|0.00|43003.00|1212076.80|449789.79|693888.22|395113.53|96200.45|93160.06|238480.30
750|CENTRO UNIVERSITÁRIO UNIRG|UNIRG|506|FUNDACAO UNIRG|3|Pública Municipal|2|Centro Universitário|1709500|Gurupi|17|TO|Norte|0|316|1|0|7|13|78|97|46|40|17|14|0|0|2|1|0|1|1|50760773.13|0.00|200000.00|20596409.51|8631111.61|3742431.50|15109249.93|682662.38|228532.97|1812877.40
752|FACULDADE DE PARÁ DE MINAS|FAPAM|508|CONFRARIA N. S. DA PIEDADE DA PAROQUIA DE N. S. DA PIEDADE DE PARA DE MINAS|5|Privada sem fins lucrativos|3|Faculdade|3147105|Pará de Minas|31|MG|Sudeste|0|108|3|7|4|2|8|7|23|4|9|10|18|6|3|4|0|1|1|9471266.57|0.00|210875.33|3181889.67|1990000.70|1989694.66|1432106.77|436132.16|0.00|753870.95
753|FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL|FACHUSC|509|AUTARQUIA EDUCACIONAL DE SALGUEIRO|3|Pública Municipal|3|Faculdade|2612208|Salgueiro|26|PE|Nordeste|0|47|2|2|2|0|7|8|10|6|6|3|1|0|0|0|0|0|1|4356743.31|415349.42|0.00|2948046.39|987452.50|660047.37|158640.78|65674.80|0.00|0.00
754|CENTRO DE ENSINO SUPERIOR DE CATALÃO|CESUC|510|ASSOCIACAO CATALANA DE EDUCACAO|5|Privada sem fins lucrativos|3|Faculdade|5205109|Catalão|52|GO|Centro-Oeste|0|86|0|1|13|4|26|5|12|7|2|5|3|7|0|1|1|1|1|8119070.29|0.00|611151.68|2484380.20|1384486.23|1447848.28|3244547.96|1198651.31|0.00|396107.13
755|CENTRO DE ENSINO SUPERIOR DE JATAÍ|CESUT|511|ASSOCIACAO JATAIENSE DE EDUCACAO|5|Privada sem fins lucrativos|3|Faculdade|5211909|Jataí|52|GO|Centro-Oeste|0|12|0|0|0|0|5|0|6|0|0|1|0|0|0|0|1|1|2|2485480.00|0.00|0.00|1148869.37|334928.72|472883.12|0.00|0.00|0.00|623412.87
756|UNIVERSIDADE ESTADUAL DO PIAUÍ|UESPI|512|FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI|2|Pública Estadual|1|Universidade|2211001|Teresina|22|PI|Nordeste|1|381|3|10|2|8|120|94|58|37|24|23|1|1|0|0|1|1|2|14355153.44|0.00|189353749.02|89497520.76|7317765.44|17088802.19|0.00|5158917.50|2937230.00|31675588.70
757|FACULDADES INTEGRADAS DO TAPAJÓS|ISES|513|INSTITUTO SANTARENO DE EDUCACAO SUPERIOR|4|Privada com fins lucrativos|3|Faculdade|1506807|Santarém|15|PA|Norte|0|158|0|0|11|27|36|33|26|11|6|5|3|0|0|0|1|0|2|15978613.56|166585.70|1101513.09|4776228.27|2323493.97|2553351.70|4809837.49|829789.32|0.00|2129523.19
759|FACULDADE DE CIÊNCIAS MÉDICAS E PARAMÉDICAS FLUMINENSE|SEFLU|515|SOCIEDADE EDUCACIONAL FLUMINENSE|5|Privada sem fins lucrativos|3|Faculdade|3303203|Nilópolis|33|RJ|Sudeste|0|13|1|1|1|1|4|3|1|0|0|0|0|1|0|0|0|0|2|1540626.46|0.00|44852.53|563760.42|170134.70|403505.93|36415.78|0.00|0.00|241249.16
760|FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO|FCHPE|516|SOCIEDADE PERNAMBUCANA DE CULTURA E ENSINO LTDA - SOPECE|4|Privada com fins lucrativos|3|Faculdade|2611606|Recife|26|PE|Nordeste|1|26|1|4|0|3|4|7|3|2|0|1|1|0|0|0|0|1|1|4930362.34|0.00|174056.31|1183754.20|573646.33|603893.05|593080.76|113493.76|91772.36|917357.12
761|FACULDADES SPEI|FACSPEI|517|SOCIEDADE PARANAENSE DE ENSINO E INFORMATICA-SPEI|5|Privada sem fins lucrativos|3|Faculdade|4106902|Curitiba|41|PR|Sul|1|36|1|3|1|1|7|15|2|3|1|2|0|0|0|0|1|1|1|6100526.17|0.00|160847.69|1718246.17|608392.79|1054198.39|1209841.79|0.00|0.00|1698955.70
1446|CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL - UNIPLAN|UNIPLAN|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|2|Centro Universitário|5300108|Brasília|53|DF|Centro-Oeste|1|185|16|5|9|8|68|50|18|7|4|0|0|0|0|0|1|1|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
763|INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO|IUESO|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|5208707|Goiânia|52|GO|Centro-Oeste|1|131|11|3|8|13|36|30|13|10|1|3|2|1|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
1066|INSTITUTO DE ENSINO E PESQUISA OBJETIVO|IEPO|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|1721000|Palmas|17|TO|Norte|1|65|2|1|2|1|30|14|5|3|5|2|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.65|51387996.08|2724099.98|0.00|261545.93
2470|INSTITUTO SALVADOR DE ENSINO E CULTURA|ISEC|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|2927408|Salvador|29|BA|Nordeste|1|25|2|0|2|1|5|4|6|0|4|1|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
3776|INSTITUTO DE ENSINO SUPERIOR DE MATO GROSSO|IESMT|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|5103403|Cuiabá|51|MT|Centro-Oeste|1|27|3|0|3|2|9|4|4|2|0|0|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|44928269.35|2724099.98|0.00|261545.93
2911|FACULDADE PAN AMAZÔNIA|FAPAN|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|1501402|Belém|15|PA|Norte|1|79|0|0|2|3|32|31|5|6|0|0|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
3788|FACULDADE JUIZ DE FORA|FJF|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|3136702|Juiz de Fora|31|MG|Sudeste|0|33|2|0|0|0|9|11|8|3|0|0|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005715.25|51387996.08|0.00|0.00|261545.93
3786|FACULDADE DE ENSINO DE MINAS GERAIS|FACEMG|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|3106200|Belo Horizonte|31|MG|Sudeste|1|48|0|0|8|0|33|0|7|0|0|0|0|0|0|0|0|0|1|138257010.52|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
3778|FACULDADE DE ARACAJU|FACAR|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|2800308|Aracaju|28|SE|Nordeste|1|23|1|0|0|0|3|4|7|2|4|2|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
3787|FACULDADE DE ENSINO SUPERIOR DA AMAZÔNIA|FESAM|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|1600303|Macapá|16|AP|Norte|1|42|3|3|2|4|10|11|3|3|0|3|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|0.00
3777|FACULDADE CURITIBANA|FAC|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|4106902|Curitiba|41|PR|Sul|1|12|0|0|0|0|6|2|3|1|0|0|0|0|0|0|0|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
2909|FACULDADE DO ESTADO DO MARANHÃO|FACEM|519|ASSOCIACAO OBJETIVO DE ENSINO SUPERIOR - ASSOBES|5|Privada sem fins lucrativos|3|Faculdade|2111300|São Luís|21|MA|Nordeste|1|26|0|0|1|1|9|7|5|1|1|1|0|0|0|0|1|0|1|138257010.32|0.00|32918742.40|27910535.07|13983752.41|18005712.25|51387996.08|2724099.98|0.00|261545.93
764|FACULDADE PINHEIRO GUIMARÃES|FAPG|520|SOCIEDADE DE ENSINO SUPERIOR PINHEIRO GUIMARAES|5|Privada sem fins lucrativos|3|Faculdade|3304557|Rio de Janeiro|33|RJ|Sudeste|1|9|0|0|0|1|2|1|1|2|0|1|1|0|0|0|0|1|1|1267740.21|0.00|0.00|687806.85|119749.27|311723.12|21171.26|87281.38|17198.16|0.00
1187|CENTRO UNIVERSITÁRIO MÓDULO|MÓDULO|521|SOCIEDADE EMPRESARIA DE ENSINO SUPERIOR DO LITORAL NORTE LTDA|4|Privada com fins lucrativos|2|Centro Universitário|3510500|Caraguatatuba|35|SP|Sudeste|0|93|0|1|8|6|36|19|9|8|3|1|0|0|0|2|1|1|1|15836877.78|0.00|255817.98|4685656.08|1871391.04|2560769.47|4378115.63|321941.50|19059.90|1373895.15
769|FACULDADES INTEGRADAS DE NAVIRAÍ|FINAV|524|CENTRO DE ENSINO DE NAVIRAI CENAV|5|Privada sem fins lucrativos|3|Faculdade|5005707|Naviraí|50|MS|Centro-Oeste|0|14|1|1|2|0|1|3|4|0|0|1|0|1|0|0|0|0|1|1333988.54|0.00|0.00|189836.43|230404.41|139286.97|46848.55|7700.00|0.00|1584.70
4255|FACULDADES INTEGRADAS DE CACOAL|UNESC|525|ASSOCIACAO EDUCACIONAL DE RONDONIA|5|Privada sem fins lucrativos|3|Faculdade|1100049|Cacoal|11|RO|Norte|0|83|10|6|6|0|9|24|13|12|1|1|0|1|0|0|1|0|1|26165088.19|0.00|941311.13|7557104.47|4561408.15|2157045.70|96247.44|0.00|3251.40|11109917.22
11645|FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA|FAEV|525|ASSOCIACAO EDUCACIONAL DE RONDONIA|5|Privada sem fins lucrativos|3|Faculdade|1100304|Vilhena|11|RO|Norte|0|18|2|2|3|3|0|1|4|3|0|0|0|0|0|0|1|1|1|26165088.19|0.00|941311.13|7557104.47|4561408.15|2157045.70|96247.44|0.00|3251.40|11109917.22
12758|FACULDADE DE EDUCAÇÃO E CULTURA DE PORTO VELHO|FAEC-PVH|525|ASSOCIACAO EDUCACIONAL DE RONDONIA|5|Privada sem fins lucrativos|3|Faculdade|1100205|Porto Velho|11|RO|Norte|1|11|0|0|0|0|5|5|0|0|1|0|0|0|0|0|1|1|1|26165088.19|0.00|941311.13|7557104.47|4561408.15|2157045.70|96247.44|0.00|3251.40|11109917.22
1858|FACULDADE INTEGRADA EUCLIDES FERNANDES|FAJ|530|CENTRO DE EDUCACAO TECNICA DE JEQUIE LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|2918001|Jequié|29|BA|Nordeste|0|10|0|2|1|0|4|1|1|0|1|0|0|0|0|0|0|0|2|2329431.00|0.00|39826.00|1021340.00|240446.00|461495.00|163737.00|0.00|50000.00|100000.00
778|FACULDADE DE TECNOLOGIA DE JACAREÍ|ETEP|531|CENTRO CULTURAL E EDUCACIONAL PORTO MARQUES LTDA|5|Privada sem fins lucrativos|3|Faculdade|3524402|Jacareí|35|SP|Sudeste|0|11|0|0|0|0|1|4|0|0|3|3|0|0|0|0|1|0|1|2659874.55|0.00|2829.19|747205.44|171627.85|910050.91|534283.86|0.00|0.00|1280977.03
780|UNIVERSIDADE DE CUIABÁ|UNIC / PITÁGORAS|533|IUNI EDUCACIONAL S.A.|4|Privada com fins lucrativos|1|Universidade|5103403|Cuiabá|51|MT|Centro-Oeste|1|725|8|7|75|50|235|165|82|68|19|6|5|2|3|0|1|1|1|323248199.94|0.00|264859715.02|52310039.30|108380344.38|39687378.48|42911215.29|23477486.73|0.00|34189766.11
1305|FACULDADE DE CIÊNCIAS JURÍDICAS, GERENCIAIS E EDUCAÇÃO DE SINOP|FIS|533|IUNI EDUCACIONAL S.A.|4|Privada com fins lucrativos|3|Faculdade|5107909|Sinop|51|MT|Centro-Oeste|0|27|1|0|4|2|8|7|2|3|0|0|0|0|0|0|1|1|1|323248199.94|0.00|264859715.02|52310039.30|108380344.38|39687378.48|42911215.29|23477486.73|0.00|34189766.11
3303|FACULDADES INTEGRADAS MATO-GROSSENSES DE CIÊNCIAS SOCIAIS E HUMANAS|ICE|535|INSTITUTO CUIABANO DE EDUCACAO|5|Privada sem fins lucrativos|3|Faculdade|5103403|Cuiabá|51|MT|Centro-Oeste|1|47|2|2|3|6|9|12|7|1|5|0|0|0|0|0|1|0|2|5737498.12|0.00|0.00|2419793.30|604948.33|1316488.89|1396267.60|59984.00|0.00|0.00
785|FACULDADE DE EDUCAÇÃO DE TANGARÁ DA SERRA|FACEDUTS|537|INSTITUICAO TANGARAENSE DE ENSINO & CULTURA S/C LTDA - EPP|4|Privada com fins lucrativos|3|Faculdade|5107958|Tangará da Serra|51|MT|Centro-Oeste|0|5|0|0|0|0|2|0|1|0|0|0|1|1|0|0|0|0|1|440602.05|0.00|33436.95|125775.67|48756.87|78539.64|90000.00|65000.00|0.00|35000.00
789|UNIVERSIDADE FEDERAL DE RORAIMA|UFRR|541|UNIVERSIDADE FEDERAL DE RORAIMA|1|Pública Federal|1|Universidade|1400100|Boa Vista|14|RR|Norte|1|408|0|0|4|7|50|57|92|44|83|55|14|2|0|0|1|1|1|1690018.26|151153818.68|248078.71|55984202.39|36951060.54|20005030.72|156183242.35|29731219.87|547242.33|42711094.83
790|Faculdade Israelita de Ciências da Saúde Einstein|FICSAE|542|SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN|5|Privada sem fins lucrativos|3|Faculdade|3550308|São Paulo|35|SP|Sudeste|1|35|0|0|0|0|15|1|7|7|3|2|0|0|0|0|1|1|1|2644760.00|0.00|0.00|2518000.00|280000.00|488000.00|859000.00|2510000.00|0.00|0.00
3985|CENTRO UNIVERSITÁRIO SENAC|SENACSP|543|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC|5|Privada sem fins lucrativos|2|Centro Universitário|3550308|São Paulo|35|SP|Sudeste|1|516|45|17|14|10|95|79|99|61|55|26|6|6|1|2|1|1|2|105434608.00|0.00|11891180.00|47054130.00|25183573.00|20460539.00|43451636.00|19327668.00|55357.00|0.00
792|CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ|CESUPA|544|ASSOCIACAO CULTURAL E EDUCACIONAL DO PARA|5|Privada sem fins lucrativos|2|Centro Universitário|1501402|Belém|15|PA|Norte|1|399|2|7|18|34|131|108|58|23|11|3|3|0|1|0|1|1|2|88118517.50|0.00|215133.57|33140360.40|7599943.43|14034897.97|28057415.19|1827782.24|36000.00|5467739.40
1298|Faculdade Estácio de Alagoas - Estácio FAL|ESTÁCIO FAL|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|2704302|Maceió|27|AL|Nordeste|1|89|0|0|0|9|11|15|29|4|18|2|0|1|0|0|1|1|2|41752274.03|0.00|230523.29|6670364.00|2168436.20|2885727.42|5810106.47|0.00|0.00|4109517.23
1280|Faculdade Estácio Cotia|Estácio FAAC|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|3513009|Cotia|35|SP|Sudeste|0|10|0|0|0|0|7|0|2|0|0|0|1|0|0|0|1|1|2|698921.27|0.00|36499.32|227283.30|392511.95|170340.41|457518.58|0.00|0.00|145353.17
1547|FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE|ESTÁCIO FMJ|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|2307304|Juazeiro do Norte|23|CE|Nordeste|0|43|0|1|0|0|12|10|9|3|4|3|0|0|0|1|1|1|2|45583961.24|0.00|46233.96|7270664.35|2100936.87|3030994.85|5878185.45|0.00|0.00|3520742.71
1457|Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN|ESTÁCIO EUROPAN|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|3513009|Cotia|35|SP|Sudeste|0|21|0|0|2|1|5|7|1|3|0|0|2|0|0|0|1|1|2|9410306.75|0.00|74038.43|1343387.24|480251.00|569954.10|2151018.20|0.00|0.00|1358234.24
793|Centro Universitário Estácio Radial de São Paulo - Estácio UNIRADIAL|ESTÁCIO UNIRADIAL|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|2|Centro Universitário|3550308|São Paulo|35|SP|Sudeste|1|190|1|1|8|5|47|50|21|34|7|9|2|4|0|1|1|1|2|25781901.41|0.00|241821.99|4013621.01|1397240.34|1661059.78|4277832.31|0.00|0.00|2732537.54
1107|Centro Universitário Estácio do Ceará|Estácio FIC|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|2|Centro Universitário|2304400|Fortaleza|23|CE|Nordeste|1|268|0|1|3|18|90|102|27|14|5|3|2|3|0|0|1|1|2|398508952.80|0.00|1687118.22|49719424.74|12172017.04|19990464.75|40449385.51|0.00|0.00|37477511.09
1077|Faculdade Estácio do Recife - Estácio FIR|Estácio FIR|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|3|Faculdade|2611606|Recife|26|PE|Nordeste|1|98|0|0|0|2|46|31|10|7|0|1|1|0|0|0|1|1|2|112119834.18|0.00|523150.96|12446601.74|3479099.62|5163180.70|12538144.30|0.00|0.00|10458959.66
1058|Estácio FIB - Centro Universitário Estácio da Bahia|Estácio FIB|545|IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.|4|Privada com fins lucrativos|2|Centro Universitário|2927408|Salvador|29|BA|Nordeste|1|118|0|0|2|2|36|40|21|10|4|2|0|0|1|0|1|1|2|136954088.32|0.00|1758375.97|19466629.01|5661129.42|8024133.17|23552880.37|0.00|0.00|14723514.29
